"jurisd_main","jobs_per_worker","mean_pct_reslow","pct_jobs_imported","pct_residents_retained","quadrant"
"DENVER",1.53067663149154,44.1066762669077,62.6803186875399,51.5646244800532,"job-rich, permissive"
"AURORA",0.924882352594722,52.0113525580042,68.7299684388227,25.4979152396976,"job-poor, permissive"
"DouglasCo_Unincorporated",0.674929003349393,87.4614603049061,70.204001293461,18.2525191628628,"job-poor, restrictive"
"JeffCo",0.814929813701803,87.570526933426,72.3629048357622,21.3363525352998,"job-poor, restrictive"
"Lakewood",0.933264017252002,61.0158360668963,79.8080505242243,17.1075572656767,"job-poor, permissive"
"ARAPAHOE",1.04504038994816,60.260314132347,89.3764191405264,9.84337865742003,"job-rich, permissive"
"AdamsCo_Unincorporated",1.09238049642778,81.733645839116,86.0079070210536,13.4184500833657,"job-rich, restrictive"
"GREENWOOD VILLAGE",7.82520872609749,66.7603167465489,98.2769031701531,12.1631907444055,"job-rich, restrictive"
"WESTMINSTER",0.783966068696982,63.7725248844809,83.3225220550078,11.8285753720871,"job-poor, permissive"
"CENTENNIAL",1.1978371312279,80.0137471553236,91.6740759557983,8.86319845857418,"job-rich, restrictive"
"Broomfield",1.03196954774137,31.6421086717052,82.8172458680131,17.6527800291781,"job-rich, permissive"
"THORNTON",0.522518505306341,71.8180706261788,73.0097966576109,12.3530519969857,"job-poor, restrictive"
"ENGLEWOOD",1.62851752869046,57.0618163652656,92.96875,10.6047012381123,"job-rich, permissive"
"LITTLETON",1.32602802664829,62.3055342885915,89.9808285404685,12.5877055189025,"job-rich, permissive"
"COMMERCE CITY",2.81736150770988,72.7144226945034,95.6692451945617,10.2425502425502,"job-rich, restrictive"
"Arvada",0.472359484920036,80.1930963829796,79.9572679026811,8.91177101529221,"job-poor, restrictive"
"Wheat Ridge",1.15642252484358,46.2972923367518,92.4091725376433,8.14194695510446,"job-rich, permissive"
"Castle Rock",0.831034653220624,86.0943204404401,79.6962025316456,16.2132501588402,"job-poor, restrictive"
"Parker",0.639590556381047,82.6105654848402,85.2662415991728,8.17634120684709,"job-poor, restrictive"
"Golden",2.32042628774423,64.2365726875115,95.6620329291137,9.8456030431864,"job-rich, permissive"
"Lone Tree",2.07675070028011,85.9339664572287,96.7382657120127,6.17602754465246,"job-rich, restrictive"
"GLENDALE",4.02037554934079,0.0208340363108807,98.8677821109574,3.99290150842946,"job-rich, permissive"
"BRIGHTON",0.558179409243239,80.444229662998,82.4849215922799,7.60050251256281,"job-poor, restrictive"
"NORTHGLENN",0.493049445715291,59.0362763387657,91.2911392405063,3.88349514563107,"job-poor, permissive"
"FEDERAL HEIGHTS",0.628809523809524,20.3700041205389,96.6950959488273,1.87537810042347,"job-poor, permissive"
"Castle Pines",0.340156639373442,98.5137038107372,81.254214430209,5.69089048106448,"job-poor, restrictive"
"CHERRY HILLS VILLAGE",0.665610859728507,99.9367611232897,91.1602209944751,5.88853838065195,"job-poor, restrictive"
